"Date","Title","Dev Gross","Paying share","ARPPU","New paying users","Paying users","DAU"
,"The Tribez",30027,1.52,8,484,3705,243670
,"Paradise Island 2",5580,0.903,14,111,398,44099
,"Mystery Manor",80,1.067,10,2,8,750
"10.01.2018",,153193,1.089,12,4438,13344,1225516
,"Guns of Boom",75544,0.908,11,3240,6876,757645
,"Trade Island",178,0.949,7,10,27,2845
,"Airport City",26769,1.168,20,363,1334,114247
,"Mirrors of Albion",12909,1.998,12,119,1158,57962
,"The Tribez",30002,1.391,9,560,3443,247601
,"Paradise Island 2",7684,1.109,16,144,493,44453
,"Mystery Manor",107,1.704,8,2,13,763
"11.01.2018",,162482,1.047,12,4314,12897,1231878
,"Guns of Boom",80616,0.903,12,3133,6850,758402
,"Trade Island",300,1.108,10,9,31,2798
,"Airport City",24163,1.041,19,305,1178,113194
,"Mirrors of Albion",16854,2.014,15,113,1170,58096
,"The Tribez",31409,1.228,10,608,3119,254059
,"Paradise Island 2",9049,1.207,17,143,538,44564
,"Mystery Manor",91,1.438,8,3,11,765
"12.01.2018",,307526,1.348,17,4855,17071,1266226
,"Guns of Boom",81625,0.936,11,3456,7376,788302
,"Trade Island",226,0.957,9,7,26,2716
,"Airport City",114197,2.881,32,424,3277,113736
,"Mirrors of Albion",28051,2.413,21,133,1428,59185
,"The Tribez",66584,1.596,16,667,4098,256777
,"Paradise Island 2",16724,1.908,19,168,854,44758
,"Mystery Manor",117,1.596,10,,12,752
"13.01.2018",,271719,1.261,16,5787,17317,1373197
,"Guns of Boom",99208,0.963,12,4140,8462,878373
,"Trade Island",429,1.104,13,11,31,2807
,"Airport City",67863,1.931,28,474,2303,119282
,"Mirrors of Albion",20252,2.173,17,135,1323,60888
,"The Tribez",66041,1.591,15,833,4217,265006
,"Paradise Island 2",17695,2.099,18,193,968,46120
,"Mystery Manor",231,1.803,18,1,13,721
"14.01.2018",,283897,1.296,16,5996,17920,1383147
,"Guns of Boom",90876,0.956,11,4178,8387,877295
,"Trade Island",104,0.915,4,12,26,2843
,"Airport City",81038,2.371,27,586,2855,120408
,"Mirrors of Albion",21535,2.328,16,148,1459,62683
,"The Tribez",74155,1.567,17,870,4270,272423
,"Paradise Island 2",16049,1.947,18,201,911,46786
,"Mystery Manor",140,1.693,12,1,12,709
"15.01.2018",,177377,1.065,13,4721,13634,1279921
,"Guns of Boom",78758,0.918,11,3465,7225,787405
,"Trade Island",329,1.107,11,13,31,2800
,"Airport City",14745,0.702,18,291,802,114299
,"Mirrors of Albion",14086,1.813,13,110,1107,61056
,"The Tribez",52884,1.335,14,667,3579,268018
,"Paradise Island 2",16454,1.912,19,171,872,45604
,"Mystery Manor",121,2.436,7,4,18,739
"16.01.2018",,156635,1.115,11,4434,14139,1268025
,"Guns of Boom",77787,0.899,11,3170,6951,773092
,"Trade Island",125,0.622,7,7,17,2734
,"Airport City",19843,1.099,15,369,1255,114205
,"Mirrors of Albion",12888,1.743,13,114,1068,61258
,"The Tribez",37477,1.591,8,623,4297,270089
,"Paradise Island 2",8453,1.172,16,150,538,45901
,"Mystery Manor",62,1.743,5,1,13,746
"17.01.2018",,160051,1.014,12,4276,13008,1282887
,"Guns of Boom",75183,0.866,11,3134,6808,785820
,"Trade Island",149,0.924,6,6,25,2707
,"Airport City",26821,0.971,19,287,1117,115087
,"Mirrors of Albion",12590,1.521,13,123,947,62257
,"The Tribez",35339,1.28,10,569,3460,270281
,"Paradise Island 2",9881,1.387,15,157,638,45989
,"Mystery Manor",88,1.743,7,,13,746
"18.01.2018",,142705,0.936,12,4076,12093,1292643
,"Guns of Boom",69468,0.808,11,2984,6463,799954
,"Trade Island",245,1.195,8,11,31,2595
,"Airport City",18261,0.835,18,275,958,114775
,"Mirrors of Albion",14166,1.657,15,115,1012,61091
,"The Tribez",31227,1.141,10,554,3055,267642
,"Paradise Island 2",9185,1.225,16,137,561,45808
,"Mystery Manor",154,1.671,12,,13,778
"19.01.2018",,225722,1.19,14,4874,15984,1342934
,"Guns of Boom",85436,0.883,11,3677,7558,855465
,"Trade Island",201,0.885,9,6,22,2487
,"Airport City",25937,1.247,18,319,1439,115410
,"Mirrors of Albion",27126,2.301,20,111,1366,59364
,"The Tribez",60311,1.668,13,606,4412,264477
,"Paradise Island 2",26582,2.606,23,154,1173,45003
,"Mystery Manor",129,1.923,9,1,14,728
"20.01.2018",,265134,1.223,15,6059,17887,1462718
,"Guns of Boom",99118,0.953,11,4688,9154,960991
,"Trade Island",183,0.76,10,4,19,2501
,"Airport City",26031,1.092,19,350,1320,120855
,"Mirrors of Albion",17982,2.029,15,126,1212,59747
,"The Tribez",75224,1.698,16,705,4614,271769
,"Paradise Island 2",46297,3.351,30,185,1545,46107
,"Mystery Manor",299,3.075,12,1,23,748
"21.01.2018",,239782,1.159,13,6773,17490,1508632
,"Guns of Boom",96580,0.943,10,5139,9344,991262
,"Trade Island",102,0.771,5,7,19,2464
,"Airport City",26651,1.094,16,366,1348,123203
,"Mirrors of Albion",20581,2.073,17,140,1262,60877
,"The Tribez",65995,1.496,15,909,4223,282330
,"Paradise Island 2",29727,2.682,23,212,1281,47756
,"Mystery Manor",146,1.757,11,,13,740
"22.01.2018",,202662,1.143,13,5569,15834,1385214
,"Guns of Boom",88434,1.017,10,4295,8989,883815
,"Trade Island",123,0.831,6,4,20,2407
,"Airport City",21013,0.848,20,264,987,116392
,"Mirrors of Albion",15940,2.197,13,107,1293,58854
,"The Tribez",47785,1.214,14,714,3367,277266
,"Paradise Island 2",29159,2.55,25,185,1166,45724
,"Mystery Manor",206,1.587,17,,12,756
"23.01.2018",,169247,1.155,10,5714,16022,1387148
,"Guns of Boom",89698,1.02,10,4534,9027,885249
,"Trade Island",70,0.468,6,2,11,2352
,"Airport City",27620,1.155,18,271,1362,117963
,"Mirrors of Albion",10123,1.784,12,114,1036,58085
,"The Tribez",36051,1.498,8,651,4160,277707
,"Paradise Island 2",5393,0.904,13,141,407,45045
,"Mystery Manor",292,2.544,15,1,19,747
"24.01.2018",,167985,1.045,11,5480,14561,1393293
,"Guns of Boom",90284,0.945,11,4341,8413,889996
,"Trade Island",163,0.728,10,4,17,2335
,"Airport City",26627,0.999,19,278,1176,117722
,"Mirrors of Albion",13836,1.882,14,89,1098,58353
,"The Tribez",32470,1.243,9,637,3455,277907
,"Paradise Island 2",4439,0.839,14,130,388,46259
,"Mystery Manor",167,1.942,12,1,14,721
"25.01.2018",,189942,1.039,12,5311,14512,1396456
,"Guns of Boom",91989,0.941,11,4200,8419,894618
,"Trade Island",265,0.624,19,4,14,2244
,"Airport City",34438,0.889,20,235,1026,115393
,"Mirrors of Albion",14652,1.585,16,77,925,58378
,"The Tribez",37574,1.263,11,628,3492,276497
,"Paradise Island 2",10901,1.28,17,164,622,48596
,"Mystery Manor",123,1.918,9,3,14,730
"26.01.2018",,345615,1.243,17,5868,19188,1543792
,"Guns of Boom",95040,0.839,11,4329,8708,1038186
,"Trade Island",199,0.676,13,2,15,2218
,"Airport City",131096,3.043,32,399,3562,117052
,"Mirrors of Albion",26958,2.125,24,99,1238,58260
,"The Tribez",71082,1.662,15,840,4625,278328
,"Paradise Island 2",21159,2.096,21,198,1028,49046
,"Mystery Manor",82,1.709,6,1,12,702
"27.01.2018",,302614,1.156,16,6966,19377,1676667
,"Guns of Boom",106762,0.829,11,4929,9584,1156043
,"Trade Island",136,0.632,10,3,14,2215
,"Airport City",64431,1.905,26,399,2344,123024
,"Mirrors of Albion",23919,2.223,21,113,1314,59103
,"The Tribez",83184,1.719,17,1309,4905,285343
,"Paradise Island 2",24046,2.399,20,211,1205,50231
,"Mystery Manor",137,1.554,13,2,11,708
"28.01.2018",,294389,1.135,15,7208,19400,1708581
,"Guns of Boom",99814,0.826,10,5262,9735,1178455
,"Trade Island",265,0.931,13,1,20,2149
,"Airport City",77817,2.145,28,440,2659,123937
,"Mirrors of Albion",21880,1.934,18,106,1178,60897
,"The Tribez",74183,1.635,15,1180,4763,291288
,"Paradise Island 2",20235,2.019,19,217,1032,51106
,"Mystery Manor",195,1.736,15,2,13,749
"29.01.2018",,185899,0.943,13,5556,14565,1544975
,"Guns of Boom",87412,0.804,10,4220,8313,1033353
,"Trade Island",131,0.609,10,2,13,2136
,"Airport City",11688,0.603,16,246,704,116828
,"Mirrors of Albion",11307,1.752,11,86,1032,58913
,"The Tribez",53532,1.239,15,816,3511,283321
,"Paradise Island 2",21669,1.977,22,185,982,49660
,"Mystery Manor",160,1.309,16,1,10,764
"30.01.2018",,175627,1.002,11,5576,15732,1570321
,"Guns of Boom",88156,0.786,11,4283,8342,1061933
,"Trade Island",85,0.579,7,,12,2073
,"Airport City",21197,0.888,19,276,1040,117142
,"Mirrors of Albion",9548,1.781,12,96,1048,58837
,"The Tribez",38518,1.61,8,746,4508,280014
,"Paradise Island 2",18061,1.567,23,173,776,49524
,"Mystery Manor",61,0.752,10,2,6,798
"31.01.2018",,189200,1.006,12,5746,15821,1572920
,"Guns of Boom",92554,0.81,11,4387,8626,1065278
,"Trade Island",65,0.44,7,2,9,2047
,"Airport City",23384,0.736,22,241,875,118819
,"Mirrors of Albion",14458,1.889,13,102,1112,58857
,"The Tribez",37314,1.348,10,808,3740,277445
,"Paradise Island 2",21314,2.914,14,205,1448,49695
,"Mystery Manor",112,1.412,10,1,11,779
"01.02.2018",,198797,0.997,13,5610,15461,1551199
,"Guns of Boom",101723,0.845,12,4384,8851,1047600
,"Trade Island",114,0.544,10,2,11,2023
,"Airport City",21501,0.749,22,226,885,118173
,"Mirrors of Albion",20918,1.88,20,97,1118,59460
,"The Tribez",38243,1.275,11,704,3493,273932
,"Paradise Island 2",16170,2.211,15,196,1089,49252
,"Mystery Manor",128,1.845,9,1,14,759
"02.02.2018",,256752,1.121,15,5813,17424,1554255
,"Guns of Boom",104283,0.859,12,4379,9014,1049250
,"Trade Island",39,0.348,6,,7,2013
,"Airport City",30434,1.197,18,338,1436,119999
,"Mirrors of Albion",22485,1.999,21,106,1201,60090
,"The Tribez",74058,1.641,16,756,4487,273360
,"Paradise Island 2",25394,2.611,20,233,1274,48785
,"Mystery Manor",59,0.66,10,1,5,758
"03.02.2018",,260735,1.072,14,6413,17996,1678490
,"Guns of Boom",108283,0.832,11,4816,9611,1155797
,"Trade Island",167,0.457,19,1,9,1969
,"Airport City",24752,0.938,20,307,1193,127244
,"Mirrors of Albion",17901,1.983,14,127,1211,61059
,"The Tribez",85672,1.679,18,951,4721,281232
,"Paradise Island 2",23814,2.465,19,211,1243,50419
,"Mystery Manor",145,1.039,19,,8,770
"04.02.2018",,251670,1.103,13,6908,18503,1677770
,"Guns of Boom",101851,0.857,10,4959,9774,1139903
,"Trade Island",66,0.778,4,2,15,1927
,"Airport City",27943,1.036,20,399,1347,130059
,"Mirrors of Albion",20815,2.019,16,120,1269,62867
,"The Tribez",83237,1.76,16,1176,5107,290128
,"Paradise Island 2",17666,1.887,18,250,984,52148
,"Mystery Manor",91,0.949,11,2,7,738
"05.02.2018",,191104,0.967,13,5452,14593,1509220
,"Guns of Boom",87679,0.821,11,4014,8140,991193
,"Trade Island",108,0.58,10,2,11,1898
,"Airport City",22916,0.675,23,227,815,120791
,"Mirrors of Albion",11392,1.698,11,122,1023,60248
,"The Tribez",52622,1.33,14,891,3775,283907
,"Paradise Island 2",16322,1.632,20,195,823,50443
,"Mystery Manor",64,0.811,11,1,6,740
"06.02.2018",,184301,1.034,12,5120,15373,1486613
,"Guns of Boom",86595,0.815,11,3804,7908,970013
,"Trade Island",57,0.534,6,3,10,1874
,"Airport City",33421,0.95,26,228,1133,119325
,"Mirrors of Albion",12638,1.812,13,128,1100,60696
,"The Tribez",41576,1.649,9,762,4625,280543
,"Paradise Island 2",9964,1.102,17,194,589,53425
,"Mystery Manor",50,1.085,6,1,8,737
"07.02.2018",,202082,1.057,12,5136,15663,1482436
,"Guns of Boom",89760,0.813,11,3726,7862,967500
,"Trade Island",27,0.377,4,1,7,1857
,"Airport City",29336,0.87,21,237,1031,118493
,"Mirrors of Albion",12892,1.898,11,124,1145,60317
,"The Tribez",38727,1.379,10,783,3838,278274
,"Paradise Island 2",31297,3.213,17,265,1775,55238
,"Mystery Manor",43,0.661,9,,5,757
"08.02.2018",,202368,0.99,14,4884,14850,1500215
,"Guns of Boom",107048,0.811,13,3583,7996,985916
,"Trade Island",47,0.22,12,,4,1821
,"Airport City",20686,0.817,21,226,963,117916
,"Mirrors of Albion",15694,1.908,14,109,1154,60498
,"The Tribez",34025,1.193,10,733,3297,276274
,"Paradise Island 2",24794,2.501,17,232,1427,57061
,"Mystery Manor",74,1.235,8,1,9,729
"09.02.2018",,391392,1.321,18,7146,21374,1618566
,"Guns of Boom",159065,1.013,14,5666,11162,1102236
,"Trade Island",184,0.785,13,1,14,1784
,"Airport City",106552,2.454,34,340,2944,119952
,"Mirrors of Albion",32198,2.555,22,146,1565,61257
,"The Tribez",64021,1.524,15,763,4176,274098
,"Paradise Island 2",29262,2.571,19,230,1504,58504
,"Mystery Manor",109,1.224,11,,9,735
"10.02.2018",,358589,1.264,16,8156,22052,1743980
,"Guns of Boom",149538,1.002,12,6422,12144,1211624
,"Trade Island",43,0.455,5,1,8,1759
,"Airport City",70048,1.698,31,356,2159,127141
,"Mirrors of Albion",20432,2.095,17,141,1318,62904
,"The Tribez",82482,1.651,18,936,4577,277149
,"Paradise Island 2",35926,2.92,19,298,1831,62697
,"Mystery Manor",119,2.125,7,2,15,706
"11.02.2018",,333416,1.252,15,8034,21741,1736492
,"Guns of Boom",136379,0.977,12,6275,11685,1195562
,"Trade Island",52,0.393,7,1,7,1781
,"Airport City",76664,1.915,30,414,2452,128064
,"Mirrors of Albion",20278,2.095,16,149,1347,64299
,"The Tribez",73177,1.626,16,820,4598,282819
,"Paradise Island 2",26684,2.592,16,373,1639,63239
,"Mystery Manor",183,1.786,14,2,13,728
"12.02.2018",,225089,1.08,13,6798,17242,1596883
,"Guns of Boom",115996,0.961,11,5386,10288,1070575
,"Trade Island",123,1.053,7,5,18,1710
,"Airport City",22292,0.779,22,265,951,122093
,"Mirrors of Albion",12143,1.747,11,152,1095,62674
,"The Tribez",51978,1.297,14,685,3603,277833
,"Paradise Island 2",22463,2.089,17,305,1280,61264
,"Mystery Manor",94,0.954,13,,7,734
"13.02.2018",,222270,1.12,12,6306,17665,1577667
,"Guns of Boom",110674,0.938,11,5064,9837,1048683
,"Trade Island",104,0.41,15,1,7,1708
,"Airport City",46170,1.163,25,252,1483,127539
,"Mirrors of Albion",15515,1.834,14,143,1136,61945
,"The Tribez",40425,1.643,9,649,4530,275735
,"Paradise Island 2",9007,1.073,14,195,658,61300
,"Mystery Manor",374,1.849,27,2,14,757
"14.02.2018",,197339,1.03,12,5894,16088,1562010
,"Guns of Boom",110769,0.917,12,4726,9518,1037533
,"Trade Island",31,0.539,3,4,9,1671
,"Airport City",26654,0.931,22,256,1175,126171
,"Mirrors of Albion",15725,1.727,15,123,1053,60989
,"The Tribez",34626,1.338,9,601,3681,275179
,"Paradise Island 2",9337,1.07,14,180,639,59744
,"Mystery Manor",198,1.798,15,4,13,723
"15.02.2018",,220106,1.049,13,5867,16418,1565544
,"Guns of Boom",139816,0.976,14,4686,10142,1039240
,"Trade Island",60,0.363,10,,6,1654
,"Airport City",22193,0.795,22,220,983,123580
,"Mirrors of Albion",16845,2.037,13,124,1249,61329
,"The Tribez",31771,1.2,9,623,3367,280591
,"Paradise Island 2",9239,1.121,14,210,655,58409
,"Mystery Manor",182,2.159,14,4,16,741
"16.02.2018",,334229,1.217,17,5425,19438,1596751
,"Guns of Boom",159445,0.95,16,3985,10144,1067630
,"Trade Island",75,0.37,13,,6,1620
,"Airport City",35186,1.236,20,306,1544,124934
,"Mirrors of Albion",23058,2.355,16,141,1445,61369
,"The Tribez",68147,1.474,16,722,4152,281722
,"Paradise Island 2",48115,3.625,22,269,2128,58710
,"Mystery Manor",203,2.48,11,2,19,766
"17.02.2018",,313288,1.15,16,5802,19473,1693884
,"Guns of Boom",147331,0.865,15,4181,9940,1149023
,"Trade Island",44,0.555,5,2,9,1623
,"Airport City",26692,1.028,20,297,1327,129043
,"Mirrors of Albion",21043,2.211,15,167,1381,62457
,"The Tribez",70793,1.554,15,837,4526,291187
,"Paradise Island 2",47284,3.803,21,317,2276,59843
,"Mystery Manor",102,1.977,7,1,14,708
"18.02.2018",,283709,1.11,15,6070,18885,1701187
,"Guns of Boom",127594,0.834,13,4293,9580,1148146
,"Trade Island",174,0.68,16,4,11,1617
,"Airport City",29400,1.05,19,389,1382,131558
,"Mirrors of Albion",18588,1.949,17,167,1236,63431
,"The Tribez",72468,1.619,15,882,4787,295660
,"Paradise Island 2",35277,3.12,19,334,1873,60030
,"Mystery Manor",207,2.148,13,1,16,745
"19.02.2018",,226552,1.039,14,5661,16218,1561600
,"Guns of Boom",103250,0.838,12,4215,8579,1023728
,"Trade Island",45,0.441,6,,7,1588
,"Airport City",22066,0.714,22,229,879,123038
,"Mirrors of Albion",13154,1.882,11,136,1166,61970
,"The Tribez",52175,1.308,13,798,3829,292683
,"Paradise Island 2",35671,3.014,20,281,1743,57833
,"Mystery Manor",192,1.974,16,2,15,760
"20.02.2018",,231626,1.159,13,5074,17727,1529520
,"Guns of Boom",133848,0.941,14,3774,9392,998506
,"Trade Island",159,0.255,40,2,4,1570
,"Airport City",27771,1.053,21,285,1273,120878
,"Mirrors of Albion",13494,2.001,11,135,1227,61321
,"The Tribez",45387,1.757,9,677,5097,290031
,"Paradise Island 2",10846,1.282,15,200,724,56460
,"Mystery Manor",122,1.326,12,1,10,754
"21.02.2018",,223049,1.053,14,4857,16006,1519948
,"Guns of Boom",126609,0.899,14,3609,8967,997970
,"Trade Island",30,0.39,5,,6,1539
,"Airport City",24053,0.823,20,280,979,119011
,"Mirrors of Albion",15524,1.913,13,142,1173,61311
,"The Tribez",45362,1.486,10,632,4221,284003
,"Paradise Island 2",11259,1.167,17,192,646,55376
,"Mystery Manor",213,1.897,15,2,14,738
"22.02.2018",,296222,1.169,16,5176,17848,1527184
,"Guns of Boom",136105,0.928,15,3867,9324,1004482
,"Trade Island",58,0.669,6,4,10,1495
,"Airport City",76778,2.237,25,344,2741,122519
,"Mirrors of Albion",31215,2.487,21,147,1519,61067
,"The Tribez",39532,1.253,11,629,3526,281335
,"Paradise Island 2",12439,1.287,17,183,715,55544
,"Mystery Manor",95,1.752,7,2,13,742
"23.02.2018",,317317,1.178,17,5150,18359,1558001
,"Guns of Boom",103498,0.806,12,3793,8338,1034767
,"Trade Island",49,0.403,8,1,6,1489
,"Airport City",82712,2.385,26,356,2969,124511
,"Mirrors of Albion",22185,2.128,17,140,1290,60619
,"The Tribez",81450,1.651,17,669,4618,279697
,"Paradise Island 2",27335,2.007,24,190,1128,56209
,"Mystery Manor",89,1.41,9,1,10,709
"24.02.2018",,312481,1.138,16,5783,18961,1665725
,"Guns of Boom",104023,0.785,12,4245,8862,1128218
,"Trade Island",64,0.532,8,,8,1505
,"Airport City",63953,1.82,26,412,2380,130777
,"Mirrors of Albion",23150,2.261,17,162,1375,60806
,"The Tribez",81655,1.674,17,744,4781,285570
,"Paradise Island 2",39466,2.654,25,217,1542,58103
,"Mystery Manor",171,1.743,13,3,13,746
"25.02.2018",,289959,1.112,15,6114,18600,1672063
,"Guns of Boom",102429,0.774,12,4400,8713,1125589
,"Trade Island",31,0.41,5,,6,1462
,"Airport City",73639,2.011,26,478,2654,131953
,"Mirrors of Albion",14545,1.939,12,160,1194,61583
,"The Tribez",77207,1.664,15,847,4859,291972
,"Paradise Island 2",21897,1.981,19,229,1164,58758
,"Mystery Manor",209,1.34,21,,10,746
"26.02.2018",,180897,0.918,13,4725,13794,1502471
,"Guns of Boom",87327,0.77,11,3675,7576,984057
,"Trade Island",41,0.339,8,1,5,1473
,"Airport City",7627,0.446,13,117,529,118657
,"Mirrors of Albion",13642,1.677,14,117,990,59041
,"The Tribez",52693,1.322,14,649,3739,282774
,"Paradise Island 2",19366,1.683,21,162,938,55737
,"Mystery Manor",200,2.322,15,4,17,732
"27.02.2018",,157044,0.981,11,4796,14547,1483038
,"Guns of Boom",89081,0.8,11,3807,7762,970747
,"Trade Island",49,0.279,12,1,4,1434
,"Airport City",3663,0.186,16,56,213,114541
,"Mirrors of Albion",12896,1.875,11,132,1108,59080
,"The Tribez",41748,1.715,8,626,4826,281351
,"Paradise Island 2",9476,1.128,15,173,622,55148
,"Mystery Manor",131,1.628,11,1,12,737
"28.02.2018",,215378,1.064,13,5142,15913,1495334
,"Guns of Boom",94476,0.814,12,3773,7985,981322
,"Trade Island",80,0.413,13,1,6,1452
,"Airport City",38231,1.057,22,450,1246,117936
,"Mirrors of Albion",11811,1.83,11,159,1081,59078
,"The Tribez",60152,1.759,12,584,4928,280168
,"Paradise Island 2",10403,1.186,16,174,648,54640
,"Mystery Manor",225,2.575,12,1,19,738
"01.03.2018",,204145,1.062,13,5321,15762,1484263
,"Guns of Boom",104466,0.878,12,4064,8529,971956
,"Trade Island",45,0.57,6,1,8,1404
,"Airport City",19852,0.865,19,325,1031,119212
,"Mirrors of Albion",19364,2.159,16,147,1301,60266
,"The Tribez",51550,1.562,12,620,4326,276911
,"Paradise Island 2",8809,1.04,15,161,559,53766
,"Mystery Manor",59,1.07,7,3,8,748
"02.03.2018",,278889,1.172,15,5317,17839,1521624
,"Guns of Boom",104090,0.847,12,3921,8488,1002552
,"Trade Island",8,0.143,4,2,2,1399
,"Airport City",33972,1.22,18,363,1504,123262
,"Mirrors of Albion",23355,2.394,16,157,1463,61102
,"The Tribez",96385,1.947,17,680,5404,277499
,"Paradise Island 2",21014,1.765,22,193,972,55062
,"Mystery Manor",64,0.802,11,1,6,748
"03.03.2018",,291087,1.114,16,5712,18217,1635486
,"Guns of Boom",109670,0.812,12,4177,8952,1102076
,"Trade Island",7,0.219,2,1,3,1371
,"Airport City",24978,0.996,19,353,1290,129540
,"Mirrors of Albion",31908,2.71,19,202,1685,62179
,"The Tribez",97204,1.813,18,737,5105,281507
,"Paradise Island 2",27152,2.019,23,242,1172,58056
,"Mystery Manor",169,1.321,17,,10,757
"04.03.2018",,252703,1.065,14,5825,17436,1637891
,"Guns of Boom",102036,0.789,12,4177,8636,1095075
,"Trade Island",8,0.425,1,4,6,1412
,"Airport City",25165,1.055,18,426,1369,129809
,"Mirrors of Albion",22064,2.337,15,193,1478,63240
,"The Tribez",83219,1.681,17,769,4795,285164
,"Paradise Island 2",20120,1.831,18,255,1143,62437
,"Mystery Manor",91,1.194,10,1,9,754
"05.03.2018",,195429,0.99,13,4805,14305,1444646
,"Guns of Boom",89205,0.801,12,3512,7449,929706
,"Trade Island",74,0.443,12,1,6,1353
,"Airport City",19910,0.813,20,309,983,120893
,"Mirrors of Albion",15585,2.219,12,173,1350,60833
,"The Tribez",52846,1.298,14,599,3557,273990
,"Paradise Island 2",17648,1.662,18,208,949,57105
,"Mystery Manor",161,1.436,15,3,11,766
"06.03.2018",,180279,0.995,12,3480,14248,1432020
,"Guns of Boom",59512,0.548,12,2232,5067,924711
,"Trade Island",14,0.149,7,,2,1346
,"Airport City",25552,0.974,22,288,1141,117188
,"Mirrors of Albion",16254,2.557,10,165,1535,60029
,"The Tribez",42520,1.737,9,543,4710,271093
,"Paradise Island 2",36315,3.134,20,250,1783,56888
,"Mystery Manor",112,1.307,11,2,10,765
"07.03.2018",,184395,0.999,13,4084,14232,1424416
,"Guns of Boom",84417,0.729,13,2825,6664,914031
,"Trade Island",5,0.226,2,1,3,1326
,"Airport City",20740,0.862,20,277,1027,119160
,"Mirrors of Albion",15565,2.588,10,149,1546,59734
,"The Tribez",41583,1.387,11,588,3796,273651
,"Paradise Island 2",21835,2.116,18,240,1180,55768
,"Mystery Manor",250,2.145,16,4,16,746
"08.03.2018",,182944,1.043,12,4767,14737,1413496
,"Guns of Boom",95095,0.877,12,3539,7947,906569
,"Trade Island",19,0.307,5,,4,1302
,"Airport City",19775,0.806,20,268,964,119618
,"Mirrors of Albion",15012,2.593,10,185,1528,58921
,"The Tribez",37039,1.218,11,548,3312,271818
,"Paradise Island 2",15757,1.764,16,224,962,54550
,"Mystery Manor",246,2.786,12,3,20,718
"09.03.2018",,348144,1.337,18,5087,19172,1433596
,"Guns of Boom",96103,0.855,12,3661,7905,924572
,"Trade Island",43,0.481,7,3,6,1248
,"Airport City",110549,2.589,34,392,3112,120192
,"Mirrors of Albion",29358,2.744,19,145,1631,59449
,"The Tribez",81889,1.921,15,659,5235,272484
,"Paradise Island 2",29971,2.301,24,225,1264,54922
,"Mystery Manor",230,2.606,12,2,19,729
"10.03.2018",,300532,1.158,16,5600,18235,1574414
,"Guns of Boom",103194,0.812,12,4004,8441,1039939
,"Trade Island",41,0.475,7,,6,1262
,"Airport City",60352,1.609,28,395,2054,127655
,"Mirrors of Albion",21174,2.409,16,161,1470,61025
,"The Tribez",86215,1.754,17,790,5031,286873
,"Paradise Island 2",29332,2.138,24,247,1217,56934
,"Mystery Manor",224,2.204,13,3,16,726
"11.03.2018",,290077,1.145,16,6083,18089,1580279
,"Guns of Boom",98759,0.835,11,4282,8625,1032539
,"Trade Island",26,0.397,5,1,5,1260
,"Airport City",75920,1.944,29,488,2487,127959
,"Mirrors of Albion",20624,2.289,15,172,1440,62910
,"The Tribez",73213,1.513,16,900,4491,296909
,"Paradise Island 2",21359,1.774,21,237,1028,57955
,"Mystery Manor",175,1.74,13,3,13,747
"12.03.2018",,189796,0.976,14,4818,13662,1400217
,"Guns of Boom",92704,0.828,13,3406,7278,878882
,"Trade Island",62,0.571,9,5,7,1225
,"Airport City",14055,0.599,19,261,702,117257
,"Mirrors of Albion",16067,1.983,14,126,1193,60153
,"The Tribez",51946,1.267,14,824,3625,286182
,"Paradise Island 2",14846,1.518,17,196,847,55787
,"Mystery Manor",116,1.368,12,,10,731
"13.03.2018",,173538,1.088,11,4693,14999,1378680
,"Guns of Boom",87868,0.837,12,3343,7241,865370
,"Trade Island",,0,0,,,1157
,"Airport City",25087,1.051,20,319,1215,115573
,"Mirrors of Albion",13277,2.287,10,139,1361,59499
,"The Tribez",41439,1.663,9,731,4682,281462
,"Paradise Island 2",5796,0.897,12,160,492,54862
,"Mystery Manor",72,1.057,6,1,8,757
"14.03.2018",,173116,1.071,12,4462,14670,1370063
,"Guns of Boom",87479,0.83,12,3221,7148,861349
,"Trade Island",10,0.383,2,2,5,1307
,"Airport City",18436,0.858,18,301,983,114589
,"Mirrors of Albion",14774,2.774,9,135,1634,58902
,"The Tribez",43574,1.556,10,630,4305,276733
,"Paradise Island 2",8764,1.038,15,172,586,56469
,"Mystery Manor",80,1.261,9,1,9,714
"15.03.2018",,180147,1.065,12,4336,14451,1356907
,"Guns of Boom",87311,0.834,12,3122,7101,851374
,"Trade Island",58,0.742,5,10,12,1617
,"Airport City",17695,0.773,20,286,873,112891
,"Mirrors of Albion",14951,2.974,8,120,1734,58301
,"The Tribez",36148,1.301,10,611,3558,273389
,"Paradise Island 2",23834,1.988,20,186,1165,58591
,"Mystery Manor",150,1.075,19,1,8,744
"16.03.2018",,262853,1.187,16,4462,16609,1399396
,"Guns of Boom",91573,0.797,13,3155,7131,894207
,"Trade Island",101,0.782,7,8,14,1791
,"Airport City",25749,1.123,20,280,1269,112975
,"Mirrors of Albion",26648,3.151,15,149,1827,57979
,"The Tribez",79962,1.708,17,647,4648,272076
,"Paradise Island 2",38679,2.866,23,221,1709,59629
,"Mystery Manor",141,1.488,13,2,11,739
"17.03.2018",,266682,1.117,16,4958,17050,1526375
,"Guns of Boom",100694,0.78,13,3504,7838,1005205
,"Trade Island",97,0.86,6,10,17,1976
,"Airport City",23096,1.022,19,348,1216,119005
,"Mirrors of Albion",25238,2.846,16,144,1681,59056
